Friday,08,May,2026,14:58:07:00009-VCID:3F8DF6FBA67DB563F9-806A,VCDS Version: Release 25.3.0 (x64),Data version: 20250301 DS365.0
8W1 927 155 B,ADVMB,0CL 20TFSINAR H06 0003,
,,G006,F0,G018,F0,G027,F0,G294,F0,G295,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,G000,F0,

Marker,TIME,Loc. IDE00024-ENG98502,TIME,Loc. IDE00075,TIME,Loc. IDE00090-ENG100894,TIME,Loc. IDE09373-ENG98502,TIME,Loc. IDE09396,,,,,,,,,,,,,,,
,42.75,53,42.99,1,42.09,R,42.31,26.3,42.53,614,,,,,,,,,,,,,,,
,43.87,53,44.09,1,43.21,R,43.44,26.1,43.65,604,,,,,,,,,,,,,,,
,44.97,53,45.18,2,44.31,R,44.53,26.0,44.75,618,,,,,,,,,,,,,,,
,46.08,53,46.29,2,45.41,R,45.63,25.9,45.85,610,,,,,,,,,,,,,,,
,47.17,53,47.39,2,46.51,R,46.74,25.8,46.95,613,,,,,,,,,,,,,,,
,48.26,53,48.50,3,47.61,R,47.83,25.7,48.05,597,,,,,,,,,,,,,,,
,49.38,53,49.60,2,48.72,R,48.94,25.6,49.16,803,,,,,,,,,,,,,,,
,50.50,53,50.71,0,49.83,R,50.05,25.5,50.27,802,,,,,,,,,,,,,,,
,51.59,53,51.81,0,50.93,R,51.15,25.4,51.37,897,,,,,,,,,,,,,,,
,52.76,53,53.00,0,52.03,1,52.26,24.9,52.51,617,,,,,,,,,,,,,,,
,53.87,53,54.09,2,53.22,1,53.43,24.6,53.65,609,,,,,,,,,,,,,,,
,55.00,53,55.21,6,54.32,1,54.55,24.5,54.77,603,,,,,,,,,,,,,,,
,56.09,53,56.32,10,55.44,1,55.66,24.2,55.87,993,,,,,,,,,,,,,,,
,57.21,53,57.44,12,56.55,1,56.77,23.8,57.00,1004,,,,,,,,,,,,,,,
,58.33,53,58.55,11,57.66,1,57.88,24.4,58.10,993,,,,,,,,,,,,,,,
,59.43,53,59.65,9,58.76,1,59.00,24.5,59.21,1016,,,,,,,,,,,,,,,
,60.53,53,60.75,8,59.87,1,60.09,25.1,60.31,1001,,,,,,,,,,,,,,,
,61.63,53,61.85,6,60.97,1,61.19,28.5,61.41,620,,,,,,,,,,,,,,,
,62.75,53,62.97,4,62.07,1,62.30,27.7,62.51,602,,,,,,,,,,,,,,,
,63.84,53,64.06,6,63.19,1,63.41,27.2,63.62,595,,,,,,,,,,,,,,,
,64.94,53,65.16,11,64.28,1,64.50,26.5,64.72,1601,,,,,,,,,,,,,,,
,66.05,53,66.27,15,65.38,1,65.60,26.3,65.82,1003,,,,,,,,,,,,,,,
,67.16,53,67.37,17,66.51,1,66.73,25.1,66.95,613,,,,,,,,,,,,,,,
,68.27,53,68.49,20,67.59,2,67.81,24.7,68.03,2705,,,,,,,,,,,,,,,
,69.37,53,69.59,22,68.71,2,68.94,27.1,69.16,2708,,,,,,,,,,,,,,,
,70.49,54,70.71,24,69.81,2,70.03,28.4,70.27,614,,,,,,,,,,,,,,,
,71.59,54,71.81,25,70.93,2,71.15,28.2,71.37,613,,,,,,,,,,,,,,,
,72.70,54,72.92,25,72.03,2,72.27,28.1,72.49,627,,,,,,,,,,,,,,,
,73.80,54,74.02,25,73.14,2,73.36,27.9,73.58,612,,,,,,,,,,,,,,,
,74.90,54,75.12,25,74.24,2,74.46,27.8,74.67,608,,,,,,,,,,,,,,,
,76.01,54,76.23,24,75.34,2,75.57,27.6,75.79,622,,,,,,,,,,,,,,,
,77.11,54,77.33,21,76.45,2,76.67,27.4,76.89,630,,,,,,,,,,,,,,,
,78.28,55,78.50,18,77.55,2,77.79,27.3,78.04,595,,,,,,,,,,,,,,,
,79.38,55,79.60,16,78.72,2,78.94,27.1,79.16,615,,,,,,,,,,,,,,,
,80.49,55,80.71,15,79.82,2,80.04,27.0,80.27,617,,,,,,,,,,,,,,,
,81.56,55,81.80,16,80.91,2,81.13,26.8,81.34,616,,,,,,,,,,,,,,,
,82.67,55,82.89,18,82.03,2,82.23,26.7,82.45,597,,,,,,,,,,,,,,,
,83.80,55,84.01,21,83.11,2,83.33,26.5,83.56,600,,,,,,,,,,,,,,,
,84.89,55,85.10,23,84.23,2,84.45,24.8,84.67,599,,,,,,,,,,,,,,,
,85.99,55,86.20,25,85.33,2,85.55,24.2,85.78,545,,,,,,,,,,,,,,,
,87.09,55,87.31,26,86.42,3,86.64,25.2,86.87,2738,,,,,,,,,,,,,,,
,88.21,55,88.43,27,87.55,3,87.77,28.4,87.99,3461,,,,,,,,,,,,,,,
,89.31,55,89.55,27,88.65,3,88.87,28.3,89.09,2992,,,,,,,,,,,,,,,
,90.43,55,90.65,28,89.77,3,89.99,28.2,90.21,1977,,,,,,,,,,,,,,,
,91.55,56,91.77,28,90.87,3,91.09,28.0,91.31,1008,,,,,,,,,,,,,,,
,92.65,56,92.87,29,91.99,3,92.21,27.7,92.44,627,,,,,,,,,,,,,,,
,93.77,56,93.99,30,93.09,3,93.31,26.1,93.55,2672,,,,,,,,,,,,,,,
,94.87,56,95.09,31,94.21,3,94.43,25.7,94.65,595,,,,,,,,,,,,,,,
,95.99,56,96.21,32,95.31,4,95.54,25.3,95.77,618,,,,,,,,,,,,,,,
,97.09,56,97.31,33,96.42,4,96.65,25.1,96.87,612,,,,,,,,,,,,,,,
,98.21,56,98.44,34,97.55,4,97.77,25.0,97.99,598,,,,,,,,,,,,,,,
,99.31,56,99.55,35,98.66,4,98.87,24.8,99.09,604,,,,,,,,,,,,,,,
,100.42,56,100.64,34,99.77,4,99.99,24.7,100.21,611,,,,,,,,,,,,,,,
,101.56,56,101.81,31,100.87,4,101.10,24.5,101.32,615,,,,,,,,,,,,,,,
,102.69,56,102.91,24,102.03,4,102.25,24.3,102.47,611,,,,,,,,,,,,,,,
,103.82,56,104.03,20,103.13,4,103.35,23.7,103.57,2729,,,,,,,,,,,,,,,
,104.91,56,105.13,20,104.25,3,104.47,25.1,104.69,2738,,,,,,,,,,,,,,,
,106.00,56,106.22,21,105.34,3,105.56,27.0,105.78,906,,,,,,,,,,,,,,,
,107.10,56,107.32,26,106.44,2,106.66,25.2,106.88,903,,,,,,,,,,,,,,,
,108.20,56,108.42,30,107.54,2,107.76,23.9,107.98,2727,,,,,,,,,,,,,,,
,109.34,56,109.59,33,108.64,3,108.86,24.4,109.08,2725,,,,,,,,,,,,,,,
,110.54,56,110.76,34,109.84,3,110.09,28.4,110.33,630,,,,,,,,,,,,,,,
,111.64,56,111.86,34,110.98,4,111.20,27.7,111.42,622,,,,,,,,,,,,,,,
,112.73,56,112.95,32,112.08,4,112.30,27.6,112.52,615,,,,,,,,,,,,,,,
,113.83,56,114.05,31,113.17,4,113.38,27.4,113.59,605,,,,,,,,,,,,,,,
,114.92,56,115.15,29,114.26,4,114.48,27.3,114.69,605,,,,,,,,,,,,,,,
,116.04,56,116.26,28,115.38,4,115.60,27.2,115.82,615,,,,,,,,,,,,,,,
,117.14,56,117.36,26,116.48,4,116.70,27.0,116.92,884,,,,,,,,,,,,,,,
,118.29,56,118.51,23,117.59,4,117.84,25.6,118.08,900,,,,,,,,,,,,,,,
,119.40,56,119.63,20,118.73,4,118.96,25.0,119.18,906,,,,,,,,,,,,,,,
,120.52,56,120.74,16,119.84,3,120.08,25.3,120.29,2721,,,,,,,,,,,,,,,
,121.61,56,121.84,13,120.96,3,121.17,28.5,121.40,885,,,,,,,,,,,,,,,
,122.73,56,122.94,12,122.08,3,122.29,28.3,122.50,622,,,,,,,,,,,,,,,
,123.83,56,124.05,10,123.16,3,123.37,28.2,123.58,607,,,,,,,,,,,,,,,
,124.92,56,125.15,9,124.27,2,124.48,28.0,124.70,599,,,,,,,,,,,,,,,
,126.07,56,126.27,8,125.38,2,125.60,27.8,125.83,598,,,,,,,,,,,,,,,
,127.16,56,127.38,7,126.50,2,126.72,27.7,126.94,615,,,,,,,,,,,,,,,
,128.31,56,128.52,6,127.60,2,127.83,27.6,128.09,603,,,,,,,,,,,,,,,
,129.41,56,129.62,7,128.75,2,128.97,26.1,129.19,612,,,,,,,,,,,,,,,
,130.50,56,130.72,13,129.84,2,130.06,25.9,130.27,827,,,,,,,,,,,,,,,
,131.59,56,131.82,20,130.94,2,131.16,25.7,131.37,2648,,,,,,,,,,,,,,,
,132.66,56,132.88,25,132.03,2,132.24,24.1,132.46,802,,,,,,,,,,,,,,,
,133.74,56,133.96,29,133.09,3,133.31,24.0,133.52,2747,,,,,,,,,,,,,,,
,134.84,56,135.06,32,134.19,3,134.41,25.1,134.62,2740,,,,,,,,,,,,,,,
,135.93,56,136.15,33,135.28,3,135.49,27.9,135.72,604,,,,,,,,,,,,,,,
,137.02,56,137.24,34,136.37,4,136.59,27.6,136.83,622,,,,,,,,,,,,,,,
,138.12,56,138.34,35,137.47,4,137.69,27.4,137.91,603,,,,,,,,,,,,,,,
,139.22,56,139.43,35,138.56,4,138.77,27.2,138.99,612,,,,,,,,,,,,,,,
,140.33,56,140.56,35,139.65,4,139.88,27.1,140.11,609,,,,,,,,,,,,,,,
,141.43,56,141.65,33,140.78,4,140.99,26.9,141.21,606,,,,,,,,,,,,,,,
,142.53,56,142.76,29,141.87,4,142.09,26.7,142.32,609,,,,,,,,,,,,,,,
,143.63,56,143.85,26,142.99,4,143.19,26.5,143.41,621,,,,,,,,,,,,,,,
,144.74,56,144.97,22,144.09,4,144.31,24.8,144.52,624,,,,,,,,,,,,,,,
,145.85,56,146.09,22,145.19,3,145.40,23.8,145.62,1584,,,,,,,,,,,,,,,
,146.97,56,147.19,24,146.32,3,146.53,25.6,146.76,2728,,,,,,,,,,,,,,,
,148.09,56,148.31,28,147.42,3,147.63,28.4,147.85,605,,,,,,,,,,,,,,,
,149.19,56,149.41,31,148.54,3,148.76,28.2,148.97,612,,,,,,,,,,,,,,,
,150.31,56,150.53,33,149.63,3,149.85,26.4,150.09,598,,,,,,,,,,,,,,,
,151.39,56,151.61,33,150.75,3,150.97,26.3,151.19,604,,,,,,,,,,,,,,,
,152.49,56,152.71,33,151.84,4,152.06,25.6,152.27,593,,,,,,,,,,,,,,,
,153.59,56,153.81,32,152.94,4,153.15,25.5,153.37,629,,,,,,,,,,,,,,,
,154.68,56,154.90,33,154.02,4,154.24,25.3,154.46,606,,,,,,,,,,,,,,,
,155.78,56,156.00,33,155.11,4,155.34,25.2,155.57,618,,,,,,,,,,,,,,,
,156.88,56,157.10,34,156.23,4,156.44,25.1,156.66,612,,,,,,,,,,,,,,,
,157.96,56,158.19,34,157.31,4,157.52,24.9,157.74,616,,,,,,,,,,,,,,,
,159.10,56,159.35,34,158.40,4,158.62,24.8,158.85,627,,,,,,,,,,,,,,,
,160.28,56,160.49,34,159.60,4,159.84,24.7,160.06,625,,,,,,,,,,,,,,,
,161.37,56,161.60,33,160.71,4,160.93,24.6,161.15,616,,,,,,,,,,,,,,,
,162.51,56,162.72,32,161.84,4,162.07,24.5,162.29,606,,,,,,,,,,,,,,,
,163.60,56,163.84,29,162.94,4,163.16,24.3,163.39,592,,,,,,,,,,,,,,,
,164.71,56,164.93,23,164.07,4,164.27,24.0,164.50,601,,,,,,,,,,,,,,,
,165.85,56,166.09,20,165.15,4,165.37,23.6,165.60,2739,,,,,,,,,,,,,,,
,166.96,56,167.18,20,166.31,3,166.52,25.1,166.75,2742,,,,,,,,,,,,,,,
,168.07,56,168.28,22,167.40,3,167.62,28.3,167.84,615,,,,,,,,,,,,,,,
,169.16,56,169.38,26,168.50,3,168.72,28.1,168.94,602,,,,,,,,,,,,,,,
,170.28,56,170.50,29,169.60,3,169.84,28.0,170.07,898,,,,,,,,,,,,,,,
,171.40,56,171.62,31,170.73,3,170.95,26.4,171.18,900,,,,,,,,,,,,,,,
,172.49,56,172.71,31,171.84,3,172.06,25.8,172.28,642,,,,,,,,,,,,,,,
,173.60,56,173.85,32,172.93,3,173.15,25.6,173.37,608,,,,,,,,,,,,,,,
,174.77,56,174.99,30,174.11,4,174.33,25.0,174.56,614,,,,,,,,,,,,,,,
,175.87,56,176.10,26,175.22,4,175.43,24.8,175.65,607,,,,,,,,,,,,,,,
,176.99,56,177.21,22,176.34,4,176.56,23.5,176.77,2715,,,,,,,,,,,,,,,
,178.10,56,178.34,20,177.43,4,177.65,25.5,177.87,2721,,,,,,,,,,,,,,,
,179.21,56,179.42,19,178.56,3,178.77,28.2,178.99,604,,,,,,,,,,,,,,,
,180.32,56,180.52,17,179.63,3,179.85,26.7,180.09,623,,,,,,,,,,,,,,,
,181.41,56,181.64,14,180.75,2,180.97,26.0,181.19,888,,,,,,,,,,,,,,,
,182.53,56,182.75,13,181.85,2,182.10,25.9,182.32,897,,,,,,,,,,,,,,,
,183.63,56,183.85,8,182.98,2,183.20,25.8,183.41,901,,,,,,,,,,,,,,,
,184.74,56,184.96,4,184.09,2,184.31,25.3,184.52,607,,,,,,,,,,,,,,,
,185.85,56,186.09,3,185.18,1,185.40,24.4,185.62,978,,,,,,,,,,,,,,,
,186.96,56,187.18,3,186.31,1,186.52,24.7,186.74,986,,,,,,,,,,,,,,,
,188.10,56,188.34,3,187.41,1,187.64,25.3,187.86,1030,,,,,,,,,,,,,,,
,189.21,56,189.43,8,188.56,1,188.77,26.1,188.99,3328,,,,,,,,,,,,,,,
,190.34,56,190.56,8,189.66,1,189.89,27.9,190.11,2700,,,,,,,,,,,,,,,
,191.43,56,191.64,5,190.77,1,190.99,27.5,191.21,1109,,,,,,,,,,,,,,,
,192.53,56,192.74,4,191.85,1,192.09,27.4,192.31,599,,,,,,,,,,,,,,,
,193.62,56,193.85,3,192.96,1,193.18,27.1,193.40,593,,,,,,,,,,,,,,,
,194.85,56,195.08,3,194.10,1,194.35,26.5,194.60,710,,,,,,,,,,,,,,,
,195.97,56,196.19,2,195.31,1,195.52,26.3,195.74,900,,,,,,,,,,,,,,,
,197.09,56,197.33,3,196.41,1,196.63,26.1,196.85,1098,,,,,,,,,,,,,,,
,198.19,56,198.41,3,197.53,1,197.75,25.9,197.97,1111,,,,,,,,,,,,,,,
,199.31,56,199.52,2,198.63,1,198.85,25.8,199.09,994,,,,,,,,,,,,,,,
,200.40,56,200.62,1,199.74,1,199.96,25.6,200.18,1106,,,,,,,,,,,,,,,
,201.56,56,201.77,0,200.85,1,201.10,25.4,201.33,1184,,,,,,,,,,,,,,,
,202.65,56,202.87,0,201.99,1,202.21,25.3,202.43,897,,,,,,,,,,,,,,,
,203.82,56,204.01,0,203.10,1,203.34,25.1,203.57,906,,,,,,,,,,,,,,,
